geoid10,tractce10,aland10,awater10,ces_score,ces_percentile,ces_decile,pollution_pctile,popchar_pctile,total_pop_acs2019,hpi_score,hpi_percentile,hpi_quartile,hpi_least_healthy_25,disadvantage_pctile,leb,pop_hpi,name,population,median_hh_income,households,hh_no_vehicle,pct_no_vehicle,dist_venue_km,dist_28x28_km,dist_stop_km,venue_access,a_base,a_plan,access_change,ces_disadvantage_decile,hpi_disadvantage_decile,venue_within_3km,project_within_3km,project_closer_than_stop
06037910714,910714,1003315,651,30.8351998952556,60.3756933938477,7.0,22.1406347230865,87.8845184064549,3870.0,-0.527263754,0.199743261,1.0,Yes,0.8002567389999999,77.0,3870.0,"Census Tract 9107.14, Los Angeles County, California",3870.0,56652.0,901.0,34.0,0.0377358490566037,45.98479095063633,46.11994987496527,45.93472688964594,0.02128348301156923,0.021306185553209334,0.021306185553209334,0.0,4,8,False,False,False
06037910711,910711,3591199,23407,30.8445885500033,60.3883005547151,7.0,22.0535158680772,87.9727685325265,7655.0,-0.337702331,0.297432606,2.0,No,0.702567394,76.0,7655.0,"Census Tract 9107.11, Los Angeles County, California",7655.0,62910.0,2199.0,124.0,0.0563892678490222,46.560291962190384,45.325139175284576,46.6602990975272,0.021025943255247107,0.020981823843650278,0.02158655144491224,0.0006047276012619632,4,6,False,False,True
06037910606,910606,1365455,0,26.9175177361821,52.874432677761,6.0,9.04791537025513,96.1548159354513,3121.0,-0.679893263,0.132477535,1.0,Yes,0.867522465,79.6,3121.0,"Census Tract 9106.06, Los Angeles County, California",3121.0,53922.0,795.0,42.0,0.0528301886792452,45.32590428677621,43.63777640046112,45.5654533956902,0.021586194924757277,0.021475147927853176,0.022402549603471506,0.00092740167561833,4,9,False,False,True
06037910605,910605,1343334,6660,22.5335054740089,43.3182047402925,5.0,6.64592408214063,87.8593040847201,4715.0,-0.606818471,0.164313222,1.0,Yes,0.835686778,76.8,4715.0,"Census Tract 9106.05, Los Angeles County, California",4715.0,44665.0,1229.0,46.0,0.0374288039056143,46.20047209529774,43.9879128686096,46.453924801811226,0.021186228772902955,0.02107307254724338,0.022228192779704434,0.001155120232461053,3,8,False,False,True
06037135114,135114,1264798,5177,35.1895606367036,67.8643469490671,7.0,80.6720597386434,52.4205748865356,5106.0,-0.060426623,0.453658537,2.0,No,0.5463414630000001,86.2,5106.0,"Census Tract 1351.14, Los Angeles County, California",5106.0,58958.0,2746.0,415.0,0.151128914785142,10.707215936480136,6.849150549675976,20.832243916090338,0.08541740456703814,0.045803812189135595,0.12740232126663456,0.08159850907749897,5,5,False,False,True
06037135113,135113,643609,0,26.6212489092197,52.2440746343923,6.0,52.2588674548849,48.2602118003026,3485.0,0.415153634,0.737997433,3.0,No,0.262002567,80.4,3485.0,"Census Tract 1351.13, Los Angeles County, California",3485.0,85505.0,1405.0,118.0,0.0839857651245551,11.01225930151643,7.694133348728173,20.96715173736282,0.0832482861799162,0.045522515251676915,0.11502008997208281,0.0694975747204059,3,2,False,False,True
06037134903,134903,564484,1794,48.4609010751878,86.1195158850227,9.0,86.3223397635345,76.0337871911246,6919.0,-0.140734641,0.407188703,2.0,No,0.592811297,83.38333333,6919.0,"Census Tract 1349.03, Los Angeles County, California",6919.0,77353.0,2764.0,198.0,0.0716353111432706,9.985342696881158,6.518997504418474,20.07884842904454,0.0910303872708413,0.04744092180207056,0.13299645323892695,0.08555553143685639,7,5,False,False,True
06037134521,134521,351794,0,51.9980452051116,90.0403429147756,10.0,76.8014934660859,90.5446293494705,3691.0,-0.956197648,0.051604621,1.0,Yes,0.948395379,81.2,3691.0,"Census Tract 1345.21, Los Angeles County, California",3691.0,57669.0,791.0,105.0,0.1327433628318584,10.57172996058724,5.049159632978977,20.510910581141836,0.08641750225817163,0.04648803667459243,0.16531221866722975,0.11882418199263733,8,10,False,False,True
06037131701,131701,659667,0,43.3202445373904,79.9420070600101,8.0,59.6888612321095,85.6782652546647,5587.0,-0.223504551,0.358921694,2.0,No,0.641078306,80.1,5587.0,"Census Tract 1317.01, Los Angeles County, California",5587.0,71595.0,1828.0,95.0,0.0519693654266958,7.385898490818769,5.627078990693756,17.137966281168467,0.11924780643300677,0.055132972710299856,0.1508960435516576,0.09576307084135774,7,6,False,False,True
06037128801,128801,492122,0,34.1787749083,66.2128088754413,7.0,75.6316116988177,53.2022188603127,3419.0,0.296895853,0.663157895,3.0,No,0.336842105,83.9,3419.0,"Census Tract 1288.01, Los Angeles County, California",3419.0,65449.0,1818.0,78.0,0.0429042904290429,2.080278668604597,2.0800062314504233,8.14091287586606,0.32464595174209093,0.10939826400054758,0.3246746677941247,0.2152764037935771,5,3,True,True,True
