stop_id,stop_name,stop_lat,stop_lon,location_type,feed
bus_386,Bellflower / Arthurdale,33.906448,-118.125167,,bus
bus_387,San Gabriel / Sierra Bonita,34.049254,-118.090642,,bus
bus_388,Bellflower / Somerset,33.896869,-118.125149,,bus
bus_389,Bellflower / Foster,33.910036,-118.125182,,bus
bus_390,Bellflower / Imperial,33.916843,-118.125229,,bus
bus_392,Bellflower / Jefferson,33.892868,-118.125127,,bus
bus_394,Bellflower / Linden,33.891016,-118.125131,,bus
bus_396,Bellflower / Rosecrans,33.901784,-118.125163,,bus
bus_397,Cesar E Chavez / Eastern,34.040431,-118.173266,,bus
bus_398,Bellflower / Stewart and Gray,33.927628,-118.125251,,bus
bus_399,Bellflower / Washburn,33.924171,-118.125243,,bus
bus_404,Beverly / Hobart,34.076396,-118.305879,,bus
bus_405,Van Nuys / Sherman Way,34.200503,-118.448865,,bus
bus_407,Beverly / Belmont,34.063647,-118.263253,,bus
bus_413,Beverly / Alvarado,34.066696,-118.270012,,bus
bus_415,Beverly / Benton,34.070078,-118.277796,,bus
bus_419,Beverly / Hoover,34.072841,-118.284152,,bus
bus_420,Beverly / Kenmore,34.076441,-118.296389,,bus
bus_421,Beverly / La Brea,34.076313,-118.343799,,bus
bus_422,Beverly / Madison,34.076219,-118.289572,,bus
bus_425,Beverly / Normandie,34.076421,-118.300229,,bus
bus_426,Beverly / Park View,34.068204,-118.274134,,bus
bus_427,Beverly / Reno,34.071491,-118.281053,,bus
bus_428,Beverly / Union,34.064629,-118.265436,,bus
bus_429,Beverly / Vermont,34.076215,-118.291352,,bus
bus_430,Van Nuys / Sherman Way,34.202386,-118.448598,,bus
bus_431,Van Nuys / Magnolia,34.165088,-118.448765,,bus
bus_432,Beverly / Vermont,34.076466,-118.291997,,bus
bus_433,Beverly / Virgil,34.075524,-118.286964,,bus
bus_434,Beverly / Western,34.076391,-118.308891,,bus
bus_440,Van Nuys / Magnolia,34.164622,-118.448525,,bus
bus_442,Beverly / Western,34.076134,-118.309385,,bus
bus_450,Bledsoe / Foothill,34.321591,-118.446865,,bus
bus_451,Bledsoe / Gladstone,34.323406,-118.444838,,bus
bus_454,7th / Hubbard,34.302118,-118.436039,,bus
bus_455,Borden / Polk,34.310178,-118.446466,,bus
bus_456,Borden / Sayre,34.304812,-118.439523,,bus
bus_457,Cesar E Chavez / Mednik,34.040732,-118.162202,,bus
bus_459,Brand / Magnolia,34.131082,-118.254752,,bus
bus_460,Brand / Maple,34.13863,-118.254808,,bus
bus_463,Brand / Monterey,34.157725,-118.254909,,bus
bus_464,Brand / Laurel Canyon,34.274615,-118.449185,,bus
bus_465,Branford / Beachy,34.233884,-118.423001,,bus
bus_466,Branford / Canterbury,34.231482,-118.426271,,bus
bus_467,Branford / Dorrington,34.22885,-118.42994,,bus
bus_469,Cesar E Chavez / Eastern,34.040688,-118.173926,,bus
bus_470,Pacific Coast Highway / Heathercliff,34.022151,-118.809037,,bus
bus_473,Lincoln Park / Altura,34.075522,-118.202893,,bus
bus_474,Lincoln Park / Altura,34.07555,-118.202619,,bus
bus_475,Spring / 1st,34.052758,-118.244738,,bus
bus_481,Temple / Hill,34.056213,-118.244365,,bus
bus_483,Broadway / Washington,34.031195,-118.265755,,bus
bus_484,Broadway / Avenue 22,34.073429,-118.217919,,bus
bus_485,Long Beach / Alondra,33.888339,-118.207102,,bus
bus_489,Fulton / Oxnard,34.179137,-118.422572,,bus
bus_491,Fulton / Hatteras,34.175932,-118.422579,,bus
bus_493,Fulton / Hatteras,34.176071,-118.422338,,bus
bus_496,Buckingham / Hannum,33.987356,-118.382336,,bus
bus_497,Buckingham / Slauson,33.988749,-118.380481,,bus
bus_498,Buckingham / Sumner,33.984199,-118.383967,,bus
bus_501,Raymond / Del Mar,34.141335,-118.14893,,bus
bus_504,Burbank / Woodman,34.172276,-118.431516,,bus
bus_509,Burbank / Bellaire,34.172281,-118.409713,,bus
bus_510,Burbank / Coldwater Canyon,34.172275,-118.413865,,bus
bus_513,Burbank / Ethel,34.172265,-118.418338,,bus
bus_516,Burbank / Hazeltine,34.172263,-118.439801,,bus
bus_520,Burbank / Ranchito,34.172278,-118.435811,,bus
bus_521,Burbank / Fulton,34.17227,-118.42175,,bus
bus_523,Burbank / Sunnyslope,34.172272,-118.42668,,bus
bus_524,Burbank / Tyrone,34.172259,-118.444655,,bus
bus_525,Burbank / Van Nuys,34.172262,-118.448361,,bus
bus_527,Burbank / Whitsett,34.172278,-118.405531,,bus
bus_533,Burton / Foothill,34.071962,-118.396244,,bus
bus_535,Burton / Doheny,34.071977,-118.389898,,bus
bus_537,Burton / La Peer,34.071992,-118.386896,,bus
bus_538,Burton / Palm,34.071972,-118.392398,,bus
bus_539,Burton / Rexford,34.071938,-118.398552,,bus
bus_546,Cahuenga / Franklin,34.105321,-118.330615,,bus
bus_548,Cahuenga / Universal Studios,34.132332,-118.353024,,bus
bus_549,Cahuenga / Wright,34.119376,-118.339502,,bus
bus_551,Cahuenga / Regal Pl,34.134975,-118.360751,,bus
bus_552,Cahuenga / Oakcrest,34.126449,-118.34537,,bus
bus_553,Santa Monica / Crescent,34.072897,-118.401651,,bus
bus_554,Cahuenga / Barham,34.128667,-118.347312,,bus
bus_555,Cahuenga / Barham,34.128427,-118.34745,,bus
bus_556,Cahuenga / Broadlawn,34.13297,-118.355664,,bus
bus_557,Van Nuys / Burbank,34.17241,-118.448375,,bus
bus_558,Cahuenga / Oakshire,34.130549,-118.350062,,bus
bus_559,Van Nuys / G Line,34.179975,-118.448475,,bus
bus_560,Van Nuys / Victory,34.186949,-118.448506,,bus
bus_561,California / Martin Luther King Jr,33.936586,-118.20824,,bus
bus_562,California / Duane,33.948682,-118.206724,,bus
bus_563,California / Michigan,33.941621,-118.207686,,bus
bus_565,California / Southern,33.950936,-118.206406,,bus
bus_566,California / Tenaya,33.938969,-118.207979,,bus
bus_567,California / Tweedy,33.94459,-118.20735,,bus
bus_571,Verdugo / Calle Vaquero,34.163902,-118.232955,,bus
bus_572,Canada / Verdugo Park,34.172005,-118.229159,,bus
bus_573,Canada / Colina,34.174273,-118.228792,,bus
bus_574,Canada / Del Valle,34.184041,-118.228895,,bus
bus_575,Canada / Glorietta,34.186943,-118.228926,,bus
bus_576,Canada / Hillside,34.177117,-118.228823,,bus
bus_578,Canada / Opechee,34.180565,-118.228862,,bus
bus_579,Canada / Santa Maria,34.19004,-118.228689,,bus
bus_580,Canada / Wabasso,34.17826,-118.228836,,bus
bus_581,Candlewood / Downey,33.853959,-118.151394,,bus
bus_582,Candlewood / Hayter,33.853888,-118.145917,,bus
bus_583,Candlewood / Lakewood,33.853908,-118.143035,,bus
bus_584,Candlewood / Obispo,33.853951,-118.154921,,bus
bus_585,Canoga / Burbank,34.17316,-118.597283,,bus
bus_586,Canoga / Erwin,34.182998,-118.597598,,bus
bus_587,Canoga / Trillium Driveway,34.184751,-118.597614,,bus
bus_588,Ventura / Canoga,34.168065,-118.597775,,bus
bus_597,Bloomfield / Park,33.867378,-118.063554,,bus
bus_599,Ventura / Winnetka,34.170958,-118.570571,,bus
bus_602,Carmenita / Mapledale,33.898548,-118.046725,,bus
bus_607,Carmenita / Rosecrans,33.902181,-118.046741,,bus
bus_613,Cecelia / Atlantic,33.958309,-118.184232,,bus
bus_614,Centinela / Acacia,33.976684,-118.364252,,bus
bus_615,Centinela / Sherbourne,33.976327,-118.38183,,bus
bus_616,Centinela / Braddock,33.989352,-118.419015,,bus
bus_617,Centinela / Edgewood,33.975842,-118.354594,,bus
bus_618,Centinela / Green Valley,33.976912,-118.386348,,bus
bus_620,Centinela / Lucille,33.983058,-118.4114,,bus
bus_621,Centinela / Marina Fwy,33.985111,-118.413795,,bus
bus_622,Centinela / Beach,33.97692,-118.36702,,bus
bus_623,Centinela / Inglewood,33.976453,-118.36149,,bus
bus_624,La Brea / Centinela,33.976061,-118.357448,,bus
bus_627,Central / Jefferson,34.012258,-118.256344,,bus
