geoid10,ces_score,ces_percentile,ces_decile,pollution_pctile,popchar_pctile,total_pop_acs2019
06037115301,34.5854136498157,66.8683812405446,7,61.7050404480398,62.9349470499244,4524
06037115302,53.3160438575648,91.1623802319718,10,76.7268201617922,92.7382753403933,3957
06037115401,41.8049607050906,77.7987897125567,8,92.5948973242066,55.7614725163893,6373
06037115403,49.9725843730141,87.8466969238527,9,88.5003111387679,76.828038325769,3583
06037115404,48.8780608263784,86.6111951588502,9,85.7996266334785,77.3827534039334,2800
06037117101,40.221950636510996,75.3277861825517,8,64.7293092719353,74.7604639435199,5224
06037117102,31.9375507761959,62.3298033282905,7,53.4038581207218,61.9137670196672,2861
06037117201,44.7059270527536,81.6187594553707,9,74.1754822650902,78.1896116994453,5191
06037117202,35.0873307484037,67.7130610186586,7,63.3105164903547,63.1366616238023,2633
06037117301,28.8572552336536,56.6691880988401,6,46.3472308649658,58.2072617246596,3910
06037117302,36.4434680146611,69.8058497226425,7,88.2140634723087,49.3444276348966,5229
06037117303,45.7697182988864,82.9677256681795,9,94.7230864965775,60.7791225416036,3754
06037117404,41.169921688926,76.8784669692385,8,91.2383322962041,55.9631870902673,5324
06037117405,51.6735270755102,89.6621280887544,9,77.1001866832607,89.649520927887,3574
06037117407,51.9746059729246,90.0025214321735,10,79.8133167392657,88.4140191628845,3836
06037117408,68.9578570982497,98.8779626828038,10,92.1593030491599,98.8653555219365,3073
06037117510,43.1846045021863,79.7907211296016,8,73.9887990043559,74.8108925869894,3687
06037117520,56.5486251572332,93.6333837619768,10,75.4075917859365,97.2894604135149,4168
06037117530,52.641764713809,90.6202723146747,10,79.2283758556316,89.7755925365608,6742
06037119001,59.3072659396778,95.2344931921331,10,97.0504044803983,79.7907211296016,4435
06037119002,55.4049825245729,92.8769541099344,10,97.125077784692,72.8441754916793,7976
06037119201,41.3539031934662,77.2062531517902,8,62.5388923459863,79.3116490166415,4547
06037119202,45.6255356400548,82.7660110943016,9,86.3845675171126,70.29752899647,4759
06037119310,27.379660202145,53.7191124558749,6,44.5301804604854,55.005042864347,4087
06037119320,46.8693739169533,84.2536560766515,9,63.9701306782825,89.7881996974281,4906
06037119340,49.9179888778964,87.7584467977811,9,62.2401991288114,95.9026727181039,4264
06037119341,40.523169876904,75.9077155824508,8,65.8618543870566,74.8234997478568,2890
06037119342,48.6715994032435,86.3464447806354,9,62.6509023024269,93.9989914271306,2911
06037119400,46.4760163787881,83.8376197680282,9,68.562538892346,86.0186585980837,5499
06037119700,31.9717577375672,62.3676248108926,7,84.5675171126322,42.7887039838628,4913
06037119800,42.9270823556262,79.3746848209783,8,81.4312383322962,68.9611699445285,6054
06037119900,46.7618750035242,84.1023701462431,9,77.5980087118855,79.9924357034796,5245
06037120010,68.4345230332911,98.7392839132627,10,94.6235220908525,96.7095310136157,2704
06037120020,70.3290027519602,99.155320221886,10,92.8189172370877,99.2057488653555,3872
06037120030,57.8169106726189,94.4150277357539,10,92.3708774113255,86.1195158850227,2666
06037120103,56.7892939584089,93.7846696923853,10,64.8662103298071,99.798285426122,3452
06037120104,54.9278367723931,92.4987392839133,10,74.8724331051649,95.8522440746344,2228
06037120105,51.9971745693943,90.0277357539082,10,79.9875544492844,88.2879475542108,2832
06037120106,55.1381176223659,92.6374180534544,10,76.4405724953329,95.3605648008069,4763
06037120107,59.79996976573,95.5748865355522,10,73.1549471064095,99.5713565305093,3893
06037120108,54.4067964122362,92.0574886535552,10,68.03982576229,98.1845688350983,4732
