geoid10,hpi_score,hpi_percentile,hpi_quartile,hpi_least_healthy_25,disadvantage_pctile,leb,pop_hpi
06037570100,-0.255121148,0.342747112,2,No,0.6572528879999999,77.5,3192
06037570202,-0.534244261,0.19563543,1,Yes,0.80436457,81.7,6124
06037570203,-0.626524551,0.154942234,1,Yes,0.845057766,75.3,4165
06037570204,-0.958756402,0.051219512,1,Yes,0.948780488,76.8,4201
06037570301,-0.85623106,0.075738126,1,Yes,0.924261874,76.5,7273
06037570303,-0.498519204,0.214890886,1,Yes,0.7851091139999999,75.8,4471
06037570304,-0.628479208,0.153786906,1,Yes,0.846213094,77.6,5094
06037570402,-0.445517742,0.241078306,1,Yes,0.758921694,78.6,3400
06037570403,-0.824802295,0.08254172,1,Yes,0.91745828,78.46666667,4832
06037570404,-0.627484223,0.154428755,1,Yes,0.845571245,78.0,3676
06037570501,-0.662716951,0.140051348,1,Yes,0.859948652,77.3,8042
06037570502,-0.453640106,0.237483954,1,Yes,0.762516046,78.1,6588
06037570601,-0.585674984,0.174839538,1,Yes,0.825160462,79.5,5610
06037570602,-0.132247417,0.411810013,2,No,0.588189987,76.8,6177
06037570603,-0.579742686,0.178818999,1,Yes,0.821181001,76.2,5172
06037570701,0.087387836,0.541976893,3,No,0.45802310700000004,78.0,7372
06037570702,0.34653893,0.692682927,3,No,0.307317073,80.6,2296
06037570800,0.421723224,0.742233633,3,No,0.257766367,78.4,5300
06037570901,0.371869694,0.711424904,3,No,0.288575096,80.0,5752
06037570902,0.423488562,0.744030809,3,No,0.25596919100000004,77.5,3583
06037571000,0.53669453,0.806546855,4,No,0.193453145,80.2,5628
06037571101,0.487872295,0.783183569,4,No,0.21681643100000003,79.3,4402
06037571102,0.39803948,0.728369705,3,No,0.271630295,82.8,4073
06037571200,0.34078953,0.688960205,3,No,0.311039795,80.5,8175
06037571300,0.285868963,0.65661104,3,No,0.34338895999999997,79.3,4484
06037571400,0.23138873,0.624005135,3,No,0.375994865,78.0,4844
06037571502,-0.046796884,0.462387677,2,No,0.5376123230000001,77.5,4739
06037571503,0.122867907,0.563286264,3,No,0.43671373599999996,81.5,3878
06037571504,0.142382388,0.574839538,3,No,0.425160462,77.4,4512
06037571600,-1.408214561,0.003979461,1,Yes,0.996020539,75.3,2309
06037571701,-0.533351498,0.196020539,1,Yes,0.803979461,75.3,6247
06037571703,-0.410661266,0.260333761,2,No,0.739666239,79.1,3557
06037571704,-0.827140759,0.081899872,1,Yes,0.918100128,76.5,4076
06037571800,0.684265068,0.87817715,4,No,0.12182285000000004,79.9,3222
06037571900,0.273065036,0.648908858,3,No,0.351091142,79.7,5413
06037572001,0.524468232,0.800513479,4,No,0.19948652099999997,79.3,5957
06037572002,-0.095624989,0.432605905,2,No,0.567394095,75.7,4723
06037572100,,,,,,,1113
06037572201,-0.157216262,0.396919127,2,No,0.603080873,78.3,5592
06037572202,0.337985507,0.687676508,3,No,0.312323492,75.3,3614
06037572301,-0.516267405,0.205263158,1,Yes,0.794736842,78.5,3841
06037572302,-0.207282281,0.368677792,2,No,0.631322208,73.3,3610
06037572400,,,,,,,1425
06037572500,-0.746487494,0.106931964,1,Yes,0.893068036,79.6,3643
06037572600,-0.253221662,0.343902439,2,No,0.6560975609999999,80.5,5357
06037572700,-0.220108862,0.361232349,2,No,0.638767651,82.4,5268
06037572800,,,,,,,986
06037572900,-0.674016426,0.13465982,1,Yes,0.86534018,80.8,5360
06037573002,-0.906138099,0.064056483,1,Yes,0.935943517,79.38,4086
06037573003,-0.250954889,0.344801027,2,No,0.6551989730000001,75.1,1843
06037573004,-0.562383948,0.186264442,1,Yes,0.813735558,75.7,4577
06037573100,-0.375981026,0.277535302,2,No,0.722464698,80.1,7547
06037573201,-0.614576016,0.160333761,1,Yes,0.839666239,75.8,4597
06037573202,-0.638805843,0.148523748,1,Yes,0.851476252,81.8,6379
06037573300,-0.954277639,0.051861361,1,Yes,0.948138639,75.3,4158
06037573401,-0.037502703,0.468421053,2,No,0.5315789470000001,79.2,1642
06037573402,-0.094629024,0.432862644,2,No,0.5671373559999999,76.6,6384
06037573403,0.478366091,0.777150193,4,No,0.222849807,84.4,3519
06037573601,0.544350175,0.811039795,4,No,0.188960205,81.2,6402
06037573700,0.55007123,0.814505777,4,No,0.18549422299999996,81.4,5009
06037573800,0.375039081,0.713607189,3,No,0.286392811,78.1,4309
06037573902,0.84889898,0.936328626,4,No,0.063671374,84.3,2031
06037574000,0.808434349,0.924261874,4,No,0.07573812599999996,82.9,5165
06037574100,0.488275903,0.783568678,4,No,0.21643132200000004,81.1,5014
06037574201,0.479154754,0.777663671,4,No,0.222336329,79.8,3100
06037574202,0.092602101,0.545956354,3,No,0.454043646,76.3,2251
06037574300,0.621850671,0.852503209,4,No,0.14749679100000002,84.0,6052
06037574400,0.654793743,0.866110398,4,No,0.133889602,81.7,5474
06037574500,0.581679764,0.830937099,4,No,0.169062901,80.5,6631
06037574601,,,,,,,2276
06037574602,,,,,,,1291
06037574700,,,,,,,133
06037574800,0.581381435,0.83029525,4,No,0.16970474999999996,79.65,2961
