geoid10,z_poverty,z_income_inv,z_no_vehicle,z_rent_burden,z_overcrowd,z_ces,n_components,disadvantage_index,disadvantage_decile,disadvantage_quartile,poverty_rate,median_hh_income,pct_no_vehicle,pct_rent_burden_30plus,pct_overcrowded,ces_percentile,pct_hispanic,pct_nh_black,pct_nh_asian,pct_nh_white,population
06037212701,0.5123035763074288,0.7603094158365531,-0.01823799717972471,1.0574079459393793,-0.7831148025703972,0.3736614720476432,6,0.3170549350634805,7,3,0.2064965197215777,47000.0,0.0874384236453202,0.676056338028169,0.041871921182266,76.0590015128593,0.2223198594024604,0.1006151142355008,0.5949033391915641,0.0694200351493848,2276
06037212702,0.19063051477226609,0.006224479086783374,-0.3169363006402904,0.41356818972373116,-0.7148210629426778,-0.5092065289734314,6,-0.15509011816226984,5,2,0.1723650748799095,73028.0,0.0616016427104722,0.5919220055710307,0.0492813141683778,52.8870398386283,0.1561123348017621,0.0850770925110132,0.4829295154185022,0.2279735682819383,3632
06037212800,0.05818766739590176,0.6772465022949214,0.5970297586121949,-0.7617151749485246,-0.5433969046455616,0.5014323579407899,6,0.08813070110828698,6,3,0.1583120928915321,49867.0,0.1406578026592022,0.4383408071748879,0.0678796361091672,79.4125063035804,0.3203499858876658,0.1411233418007338,0.2729325430426192,0.1944679650014112,3543
06037212900,0.5485720957998669,0.8713593452418807,1.062020730688485,-0.05388607193599374,0.5755402146487434,0.4337041815838977,6,0.5728850826711466,8,4,0.2103448275862069,43167.0,0.1808785529715762,0.5308370044052864,0.1892764857881137,77.6348966212809,0.5134005409392672,0.1128596016719941,0.2554708630440128,0.0958937791984263,4067
06037213100,0.4980067086790009,0.8423872791303942,0.5099280892337392,0.36822662166079323,1.0241314136372919,0.17383933471099244,6,0.5694199078420353,8,4,0.2049795361527967,44167.0,0.1331236897274633,0.5859969558599696,0.2379454926624738,70.8144225920323,0.3284671532846715,0.1147976111479761,0.4787657597876576,0.0759787657597876,3014
06037213201,1.3273766556404991,1.1711622853635426,1.5868752137445905,1.5942136804469504,1.2529777814629832,0.6263211937761974,6,1.2598211350724604,10,4,0.2929806714140386,32819.0,0.2262773722627737,0.7462039045553145,0.2627737226277372,82.6903681290973,0.4374364191251271,0.0119532044760935,0.4921159715157681,0.0513733468972533,3932
06037213202,1.093245991640476,0.995012123405705,1.8723604564566398,-0.24982040455768031,0.8075895419751455,0.6397707607123212,6,0.8596930782721013,9,4,0.2681380010147133,38899.0,0.2509712509712509,0.50523311132255,0.2144522144522144,83.0433686333838,0.6834094368340944,0.006595636732623,0.2577371892440385,0.032724505327245,3942
06037213310,0.4510768864366193,0.7216896517099417,1.200036565766789,-0.6278462947349175,1.061188926229653,0.6998134702485751,6,0.58432653427611,8,4,0.2,48333.0,0.1928166351606805,0.4558342420937841,0.2419659735349716,84.6192637418054,0.6434494195688225,0.0222222222222222,0.3064676616915422,0.0202321724709784,3015
06037213320,0.609627691046947,1.3467330059991507,3.42077242641061,0.7224978739470399,0.4396034876825158,0.6421724690937687,6,1.1969011590300054,10,4,0.2168231931400571,26759.0,0.3849056603773585,0.6322916666666667,0.1745283018867924,83.1064044377206,0.6456055083029567,0.0251113811259619,0.3138922640745241,0.0133657351154313,2469
06037213401,0.6202103744230225,1.1483322972676913,1.7520660765802385,0.7298676368200585,1.771095302486524,0.368858055284744,6,1.0650716238103797,10,4,0.217946079440214,33607.0,0.240566037735849,0.6332547169811321,0.3189858490566037,75.9329299041856,0.7067297797900802,0.0271660835562873,0.2090965219180901,0.0551553817657954,4859
